名称,来源,页码,体型,类型,阵营,AC,HP,速度,力量,敏捷,体质,智力,感知,魅力,豁免骰,技能,伤害易伤,伤害抗性,伤害免疫,状态免疫,感官,语言,CR,特质,动作,附赠动作,反应,传奇动作,神话动作,巢穴动作,区域效应,环境,宝藏
隼,MM'25,362,微型,野兽,无阵营,13,1 (1d4 - 1),"10 尺, 飞行 60 尺",5,16,8,2,14,6,,察觉 +6,,,,,被动察觉 16,—,0 (XP 10; PB +2),,禽爪 Talons. 近战攻击检定: +5，触及5尺。命中: 1 挥砍伤害。,,,,,,,"丘陵, 山地, 极地, 森林, 海岸, 草地",
雄性骑蛛,MPMM,231,中型,怪兽,无阵营,12 (天生护甲),13 (2d8 + 4),"30 尺, 攀爬 30 尺",15,12,14,2,10,3,,"察觉 +4, 隐匿 +5",,,,,"黑暗视觉 120 尺, 被动察觉 14",—,1/4 (XP 50; PB +2),"蛛行术 Spider Climb. 骑乘狼蛛可以在困难表面上攀爬，包括倒立在天花板上，且不需要进行属性检定。

飞跃 Extraordinary Leap. 骑蛛的跳远距离增加三倍；它每花费1尺移动速度进行跳跃，则允许它跳跃3尺。","啃咬 Bite. 近战武器攻击: 命中+4，触及 5 尺，单一目标。命中: 6（1d8 + 2）穿刺伤害外加 4（1d8）毒素伤害。

粘性长腿 Sticky Leg. 近战武器攻击: 命中+4，触及5尺，一个微型或小型生物。命中: 目标被粘在骑乘狼蛛的长腿上并被受擒（逃脱DC 12）。骑乘狼蛛一次只能受擒一个生物。",,,,,,,幽暗地域,
雌性骑蛛,MPMM,231,大型,怪兽,无阵营,14 (天生护甲),30 (4d10 + 8),"30 尺, 攀爬 30 尺",15,16,14,2,10,3,,"察觉 +4, 隐匿 +7",,,,,"黑暗视觉 120 尺, 被动察觉 14",—,1 (XP 200; PB +2),"蛛行术 Spider Climb. 骑乘狼蛛可以在困难表面上攀爬，包括倒立在天花板上，且不需要进行属性检定。

飞跃 Extraordinary Leap. 骑蛛的跳远距离增加三倍；它每花费1尺移动速度进行跳跃，就能移动3尺。","啃咬 Bite. 近战武器攻击: 命中+5，触及 5 尺，单一目标。命中: 7（1d8 + 3）穿刺伤害加 9（2d8）毒素伤害。

粘性长腿 Sticky Leg. 近战武器攻击: 命中+5，触及5尺，一个中型或更小的生物。命中: 目标被粘在骑乘狼蛛的长腿上并被受擒（逃脱DC 12）。骑乘狼蛛一次只能受擒一个生物。",,,,,,,幽暗地域,
雪怪,MM'25,339,大型,怪兽,混乱 邪恶,12,51 (6d10 + 18),"40 尺, 攀爬 40 尺",18,13,16,8,12,7,,"察觉 +5, 隐匿 +5",,,寒冷,,"黑暗视觉 60 尺, 被动察觉 15",雪怪,3 (XP 700; PB +2),畏火 Fear of Fire. 若雪怪受到火焰伤害，直至其下个回合结束，其进行的攻击检定和属性检定具有劣势。,"多重攻击 Multiattack. 雪怪使用寒颤凝视并使用爪击或投掷冰块发动共计两次攻击。

爪击 Claw. 近战攻击检定: +6，触及 5 尺。命中: 7（1d6 + 4）挥砍伤害外加 3（1d6）寒冷伤害。

投掷冰块 Ice Throw. 远程攻击检定: +6，射程 30/120 尺。命中: 6（1d4 + 4）钝击伤害外加 2（1d4）寒冷伤害。

寒颤凝视 Chilling Gaze. 体质 豁免检定: DC 13，单一 30 尺内雪怪可见的生物。失败: 5（2d4）寒冷伤害，且目标陷入麻痹状态（除非目标对寒冷伤害免疫），直至雪怪的下个回合开始。成功: 目标在 1 小时内免疫所有雪怪（除巨恶雪怪外）的寒颤凝视。",,,,,,,极地,任何
雷龙,MPMM,95,超巨型,野兽 (恐龙),无阵营,15 (天生护甲),121 (9d20 + 27),30 尺,21,9,17,2,10,7,Con +6,,,,,,被动察觉 10,—,"5 (XP 1,800; PB +3)",,"践踏 Stomp. 近战武器攻击: 命中+8，触及 20 尺，单一目标。命中: 27（5d8 + 5）钝击伤害，并且目标必须成功通过DC 14的力量豁免否则被击倒倒地。

尾击 Tail. 近战武器攻击: +8 命中，触及20英尺，单一目标。命中: 32（6d8 + 5）钝击伤害。",,,,,,,"森林, 草地",
霜巨人,MM'25,124,巨型,巨人,中立 邪恶,15,149 (13d12 + 65),40 尺,23,9,21,9,10,12,"Con +8, Wis +3, Cha +4","运动 +9, 察觉 +3",,,寒冷,,被动察觉 13,巨人语,"8 (XP 3,900; PB +3)",,"多重攻击 Multiattack. 巨人发动两次攻击，可使用寒霜之斧或巨弓任意组合。

寒霜之斧 Frost Axe. 近战攻击检定: +9，触及10尺。命中: 19（2d12 + 6）挥砍伤害外加9（2d8）寒冷伤害。

巨弓 Great Bow. 远程攻击检定: +9，射程150/600尺。命中: 17（2d10 + 6）穿刺伤害外加7（2d6）寒冷伤害，且目标的速度降低10尺直至其下个回合结束。",战吼 (充能 5–6) War Cry. 霜巨人或其选择的一名可以看见或听见其的生物获得16（2d10 + 5）临时生命值临时生命值，且目标进行攻击检定时具有优势优势，直至霜巨人的下个回合开始。,,,,,,"山地, 极地",武备
霜巨人永恒者,MPMM,131,巨型,巨人,混乱 邪恶,15 (拼凑护甲),189 (14d12 + 98),40 尺,25,9,24,9,10,12,"Str +11, Con +11, Wis +4","运动 +11, 察觉 +4",,,寒冷,,"黑暗视觉 60 尺, 被动察觉 14",巨人语,"12 (XP 8,400; PB +4)","再生 Regeneration. 巨人在它的回合开始时回复10点生命值。如果巨人受到强酸或者火焰伤害，这个特性在下一回合开始时不起作用。巨人只会在它生命值为0时开始回合并且无法再生时才会死亡。

多头 Extra Heads. 该巨人有25%的概率拥有超过一个的头颅。如果它有多个头颅，则它在感知（察觉）检定和对抗目盲、魅惑、耳聋、恐慌、震慑、或昏迷状态所做的豁免检定具有优势。","多重攻击 Multiattack. 巨人进行两次巨斧或投石攻击。

巨斧 Greataxe. 近战武器攻击: 命中+11，触及10尺，单一目标。命中: 26（3d12 + 7）挥砍伤害，或在狂暴时造成30（3d12 + 11）挥砍伤害。

掷石 Rock. 远程武器攻击: 命中+11，射程60/240尺，单一目标。命中: 29 (4d10 + 7) 点钝击伤害。","瓦普拉克之怒 (短休或长休之后充能) Vaprak's Rage. 巨人进入狂暴。狂暴持续1分钟或直到巨人失能。狂暴期间，巨人获得以下好处：

巨人在力量检定和力量豁免上有优势。当巨人进行近战武器攻击时，他在伤害掷骰上获得+4加值巨人拥有钝击、穿刺和挥砍伤害的抗性。",,,,,,海岸,
霸王龙,MM'25,372,巨型,野兽 (恐龙),无阵营,13,136 (13d12 + 52),50 尺,25,10,19,2,12,9,"Str +10, Wis +4",察觉 +4,,,,,被动察觉 14,—,"8 (XP 3,900; PB +3)",,"多重攻击 Multiattack. 霸王龙发动一次啃咬攻击和一次尾击攻击。

啃咬 Bite. 近战攻击检定: +10，触及 10 尺。命中: 33（4d12 + 7）穿刺伤害。若目标生物体型不超过大型，则其陷入受擒状态（逃脱DC 17）。受擒期间，目标还会陷入束缚状态且不能成为霸王龙尾击的目标。

尾击 Tail. 近战攻击检定: +10，触及 15 尺。命中: 25（4d8 + 7）钝击伤害。若目标生物体型不超过巨型，则其陷入倒地状态。",,,,,,,草地,
青年地刺虫,MPMM,168,小型,怪兽,无阵营,16 (天生护甲),9 (2d6 + 2),"30 尺, 掘穴 10 尺, 攀爬 30 尺",13,16,13,4,10,6,,察觉 +4,,,,,"黑暗视觉 30 尺, 颤动感知 60 尺, 被动察觉 14",地刺虫,1/8 (XP 25; PB +2),"掘道者 Tunneler. 地刺虫能以一半的掘穴速度在坚硬的岩石中挖掘，并留下一条直径2.5尺的隧道。

集群战术 Pack Tactics. 地刺虫对生物发动的攻击检定具有优势，如果至少有一个地刺虫的盟友在该生物5尺范围内且该盟友未处于失能。",猛刺 Stab. 近战武器攻击: 命中+5，触及 5 尺，单一目标。命中: 5（1d4 + 3）的穿刺伤害。,,,,,,,"山地, 幽暗地域, 荒漠",
青年白龙,MM'25,328,大型,龙 (多彩),混乱 邪恶,17,123 (13d10 + 52),"40 尺, 掘穴 20 尺, 飞行 80 尺, 游泳 40 尺",18,10,18,6,11,12,"Dex +3, Wis +3","察觉 +6, 隐匿 +3",,,寒冷,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 16","通用语, 龙语","6 (XP 2,300; PB +3)",冰上行走 Ice Walk. 白龙可以在冰面上移动和攀爬而无需为此进行属性检定。此外，其不会因由冰或雪组成的困难地形额外消耗移动力。,"多重攻击 Multiattack. 该龙发动三次撕裂攻击。

撕裂 Rend. 近战攻击检定: +7，触及 10 尺。命中: 9（2d4 + 4）挥砍伤害外加 2（1d4）寒冷伤害。

寒冷吐息 (充能 5–6) Cold Breath. 体质 豁免检定: DC 15，30 尺锥状区域内的每名生物。失败: 40（9d8）寒冷伤害。成功: 半伤。",,,,,,,极地,奥秘
青年百足魔兽,MM'25,258,大型,怪兽,无阵营,14,93 (11d10 + 33),"30 尺, 掘穴 20 尺",18,13,17,3,10,4,,,,,"寒冷, 火焰",,"黑暗视觉 60 尺, 颤动感知 60 尺, 被动察觉 10",—,"5 (XP 1,800; PB +3)",炽热灵光 Heat Aura. 百足魔兽回合结束时，位于源自百足魔兽 5 尺光环区域内的每名生物均受到 11（2d10）火焰伤害。,啃咬 Bite. 近战攻击检定: +7，触及 5 尺。命中: 15（2d10 + 4）穿刺伤害外加 13（3d8）火焰伤害。,,,,,,,极地,
青年红龙,MM'25,254,大型,龙 (多彩),混乱 邪恶,18,178 (17d10 + 85),"40 尺, 攀爬 40 尺, 飞行 80 尺",23,10,21,14,11,19,"Dex +4, Wis +4","察觉 +8, 隐匿 +4",,,火焰,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 18","通用语, 龙语","10 (XP 5,900; PB +4)",,"多重攻击 Multiattack. 该龙发动三次撕裂攻击。

撕裂 Rend. 近战攻击检定: +10，触及 10 尺。命中: 13（2d6 + 6）挥砍伤害外加 3（1d6）火焰伤害。

火焰吐息 (充能 5–6) Fire Breath. 敏捷 豁免检定: DC 17，30 尺锥状区域内的每名生物。失败: 56（16d6）火焰伤害。成功: 半伤。",,,,,,,"丘陵, 山地",任何
青年绿龙,MM'25,152,大型,龙 (多彩),守序 邪恶,18,136 (16d10 + 48),"40 尺, 飞行 80 尺, 游泳 40 尺",19,12,17,16,13,15,"Dex +4, Wis +4","欺瞒 +5, 察觉 +7, 隐匿 +4",,,毒素,中毒,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 17","通用语, 龙语","8 (XP 3,900; PB +3)",水陆两栖 Amphibious. 该龙可以在空气和水中呼吸。,"多重攻击 Multiattack. 该龙发动三次撕裂攻击。

撕裂 Rend. 近战攻击检定: +7，触及 10 尺。命中: 11（2d6 + 4）挥砍伤害外加 7（2d6）毒素伤害。

毒性吐息 (充能 5–6) Poison Breath. 体质 豁免检定: DC 14，30 尺锥状区域内的每名生物。失败: 42（12d6）毒素伤害。成功: 半伤。",,,,,,,森林,奥秘
青年蓝龙,MM'25,48,大型,龙 (多彩),守序 邪恶,18,152 (16d10 + 64),"40 尺, 掘穴 20 尺, 飞行 80 尺",21,10,19,14,13,17,"Dex +4, Wis +5","察觉 +9, 隐匿 +4",,,闪电,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 19","通用语, 龙语","9 (XP 5,000; PB +4)",,"多重攻击 Multiattack. 该龙发动三次撕裂攻击。

撕裂 Rend. 近战攻击检定: +9，触及 10 尺。命中: 12（2d6 + 5）挥砍伤害外加 5（1d10）闪电伤害。

闪电吐息(充能 5–6) Lightning Breath. 敏捷 豁免检定: DC 16，60 尺长、5 尺宽的线状区域内的每名生物。失败: 55（10d10）闪电伤害。成功: 半伤。",,,,,,,"海岸, 荒漠",圣物
青年赤铜龙,MM'25,78,大型,龙 (金属),混乱 善良,17,119 (14d10 + 42),"40 尺, 攀爬 40 尺, 飞行 80 尺",19,12,17,16,13,15,"Dex +4, Wis +4","欺瞒 +5, 察觉 +7, 隐匿 +4",,,强酸,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 17","通用语, 龙语","7 (XP 2,900; PB +3)",,"多重攻击 Multiattack. 赤铜龙发动三次撕裂攻击。其可以将其中一次攻击替换为使用缓速吐息。

撕裂 Rend. 近战攻击检定: +7，触及 10 尺。命中: 15（2d10 + 4）挥砍伤害。

强酸吐息 (充能 5–6) Acid Breath. 敏捷 豁免检定: DC 14，40 尺长、5 尺宽的线状区域内的每名生物。失败: 40（9d8）强酸伤害。成功: 半伤。

迟缓吐息 Slowing Breath. 体质 豁免检定: DC 14，30 尺锥状区域内的每名生物。失败: 目标无法执行反应；其速度减半；且目标在其回合中仅可以执行一个动作或一个附赠动作，但不能同时执行二者。此效果持续至其下个回合结束。",,,,,,,丘陵,奥秘
青年金龙,MM'25,144,大型,龙 (金属),守序 善良,18,178 (17d10 + 85),"40 尺, 飞行 80 尺, 游泳 40 尺",23,14,21,16,13,20,"Dex +6, Wis +5","洞悉 +5, 察觉 +9, 游说 +9, 隐匿 +6",,,火焰,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 19","通用语, 龙语","10 (XP 5,900; PB +4)",水陆两栖 Amphibious. 该龙可以在空气和水中呼吸。,"多重攻击 Multiattack. 金龙发动三次撕裂攻击。其可以将其中一次攻击替换为使用弱化吐息。

撕裂 Rend. 近战攻击检定: +10，触及 10 尺。命中: 17（2d10 + 6）挥砍伤害。

火焰吐息 (充能 5–6) Fire Breath. 敏捷 豁免检定: DC 17，30 尺锥状区域内的每名生物。失败: 55（10d10）火焰伤害。成功: 半伤。

弱化吐息 Weakening Breath. 力量 豁免检定: DC 17，30 尺锥状区域内未被此吐息影响的每名生物。失败: 目标进行基于力量的劣势时具有D20 检定，且其伤害掷骰承受 3（1d6）减值。目标在其回合结束时重复豁免，成功则终止其身上的该效应。1分钟后，其豁免自动成功。",,,,,,,"森林, 草地",奥秘
青年银龙,MM'25,278,大型,龙 (金属),守序 善良,18,168 (16d10 + 80),"40 尺, 飞行 80 尺",23,10,21,14,11,19,"Dex +4, Wis +4","历史 +6, 察觉 +8, 隐匿 +4",,,寒冷,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 18","通用语, 龙语","9 (XP 5,000; PB +4)",,"多重攻击 Multiattack. 银龙发动三次撕裂攻击。其可以将其中一次攻击替换为使用其麻痹吐息。

撕裂 Rend. 近战攻击检定: +10，触及 10 尺。命中: 15（2d8 + 6）挥砍伤害。

寒冷吐息 (充能 5–6) Cold Breath. 体质 豁免检定: DC 17，30 尺锥状区域内的每名生物。失败: 49（11d8）寒冷伤害。成功: 半伤。

麻痹吐息 Paralyzing Breath. 体质 豁免检定: DC 17，30 尺锥状区域内的每名生物。First 失败: 目标陷入失能状态直至其下个回合结束，此时目标重复豁免。Second 失败: 目标陷入麻痹状态，并在其回合结束时重复豁免，成功则终止其身上的该效应。1 分钟后，其豁免自动成功。",,,,,,,"城市, 山地",奥秘
青年青铜龙,MM'25,58,大型,龙 (金属),守序 善良,17,142 (15d10 + 60),"40 尺, 飞行 80 尺, 游泳 40 尺",21,10,19,14,13,17,"Dex +3, Wis +4","洞悉 +4, 察觉 +7, 隐匿 +3",,,闪电,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 17","通用语, 龙语","8 (XP 3,900; PB +3)",水陆两栖 Amphibious. 该龙可以在空气和水中呼吸。,"多重攻击 Multiattack. 青铜龙发动三次撕裂攻击。其可以将其中一次攻击替换为使用斥力吐息。

撕裂 Rend. 近战攻击检定: +8，触及 10 尺。命中: 16（2d10 + 5）挥砍伤害。

闪电吐息(充能 5–6) Lightning Breath. 敏捷 豁免检定: DC 15，60 尺长、5 尺宽的线状区域内的每个生物。失败: 49（9d10）闪电伤害。成功: 半伤。

斥力吐息 Repulsion Breath. 力量 豁免检定: DC 15，30 尺锥状区域内的每个生物。失败: 目标被青铜龙直线推离至多 40 尺并陷入倒地状态。",,,,,,,海岸,器具
青年黄铜龙,MM'25,54,大型,龙 (金属),混乱 善良,17,110 (13d10 + 39),"40 尺, 掘穴 20 尺, 飞行 80 尺",19,10,17,12,11,15,"Dex +3, Wis +3","察觉 +6, 游说 +5, 隐匿 +3",,,火焰,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 16","通用语, 龙语","6 (XP 2,300; PB +3)",,"多重攻击 Multiattack. 黄铜龙发动三次撕裂攻击。其可以将其中两次攻击替换为使用睡眠吐息。

撕裂 Rend. 近战攻击检定: +7，触及 10 尺。命中: 15（2d10 + 4）挥砍伤害。

火焰吐息 (充能 5–6) Fire Breath. 敏捷 豁免检定: DC 14，40 尺长、5 尺宽的线状区域内的每名生物。失败: 38（11d6）火焰伤害。成功: 半伤。

睡眠吐息 Sleep Breath. 体质 豁免检定: DC 14，30 尺锥状区域内的每名生物。失败: 目标陷入失能状态直至其下个回合结束，此时目标重复豁免。Second 失败: 目标陷入昏迷状态，持续 1 分钟。目标身上的此效应在其受到伤害或被目标 5 尺内的另一生物用一个动作摇醒时提前结束。",,,,,,,荒漠,奥秘
青年黑龙,MM'25,38,大型,龙 (多彩),混乱 邪恶,18,127 (15d10 + 45),"40 尺, 飞行 80 尺, 游泳 40 尺",19,14,17,12,11,15,"Dex +5, Wis +3","察觉 +6, 隐匿 +5",,,强酸,,"盲视 30 尺, 黑暗视觉 120 尺, 被动察觉 16","通用语, 龙语","7 (XP 2,900; PB +3)",水陆两栖 Amphibious. 该龙可以在空气和水中呼吸。,"多重攻击 Multiattack. 该龙发动三次撕裂攻击。

撕裂 Rend. 近战攻击检定: +7，触及 10 尺。命中: 9（2d4 + 4）挥砍伤害外加 3（1d6）强酸伤害。

强酸吐息 (充能 5–6) Acid Breath. 敏捷 豁免检定: DC 14，30 尺长、5 尺宽的线状区域内的每名生物。失败: 49（14d6）强酸伤害。成功: 半伤。",,,,,,,沼泽,圣物
青蛙,MM'25,354,微型,野兽,无阵营,11,1 (1d4 - 1),"20 尺, 游泳 20 尺",1,13,8,1,8,3,,"察觉 +1, 隐匿 +3",,,,,"黑暗视觉 30 尺, 被动察觉 11",—,0 (XP 10; PB +2),"水陆两栖 Amphibious. 青蛙可以在空气和水中呼吸。

立定跳远 Standing Leap. 不论是否助跑，蛙都能跳远跳远至多10尺或跳高跳高至高5尺。",啃咬 Bite. 近战攻击检定: +3，触及5尺。命中: 1穿刺伤害。,,,,,,,"森林, 沼泽",
青足龙蛇,MM'25,34,巨型,怪兽,中立 邪恶,17,168 (16d12 + 64),"50 尺, 攀爬 50 尺",23,16,18,7,14,12,,"察觉 +6, 隐匿 +7",,,闪电,,"黑暗视觉 90 尺, 被动察觉 16",龙语,"11 (XP 7,200; PB +4)",,"多重攻击 Multiattack. 青足龙蛇发动一次啃咬攻击并使用绞缠。

啃咬 Bite. 近战攻击检定: ：+10，触及 10 尺。命中: ：19（2d12 + 6）穿刺伤害外加 11（2d10）闪电伤害。

绞缠 Constrict. 力量 豁免检定: ： DC 18，单一5尺内体型不超过大型且青足龙蛇可见的生物。失败: ： 28 （5d8 + 6）钝击伤害，目标陷入受擒状态（逃脱DC 16），且目标陷入束缚状态直至擒抱结束。

闪电吐息(充能 5–6) Lightning Breath. 敏捷 豁免检定: ：DC 16，90 尺长、5 尺宽的线状内的每名生物。失败: ： 66（12d10）闪电伤害。成功: ：半伤。","吞咽 Swallow. 敏捷 豁免检定: ：DC 18，单一不超过大型的正受受擒于青足龙蛇的生物（青足龙蛇同时能吞咽的生物数上限为一）。失败: ： 青足龙蛇吞咽目标，并结束其受擒状态。被吞咽期间，目标陷入目盲和束缚状态，对青足龙蛇体外的攻击或其他效应而言处于全身掩护，并在青足龙蛇的回合开始时受到21（6d6）强酸伤害。

若一回合内青足龙蛇体内的一名生物对青足龙蛇造成至少 30 伤害，青足龙蛇在该回合结束时必须成功通过一次DC 14的体质豁免，否则将吐出那名生物，使其落在青足龙蛇 10 尺内的空间并陷入倒地状态。若青足龙蛇死亡，被吞咽生物不再被束缚并可以使用 15 尺移动力逃离尸体，以倒地状态脱离。",,,,,,幽暗地域,任何
青铜龙雏龙,MM'25,58,中型,龙 (金属),守序 善良,15,39 (6d8 + 12),"30 尺, 飞行 60 尺, 游泳 30 尺",17,10,15,12,11,15,"Dex +2, Wis +2","察觉 +4, 隐匿 +2",,,闪电,,"盲视 10 尺, 黑暗视觉 60 尺, 被动察觉 14",龙语,2 (XP 450; PB +2),水陆两栖 Amphibious. 该龙可以在空气和水中呼吸。,"多重攻击 Multiattack. 该龙发动两次撕裂攻击。

撕裂 Rend. 近战攻击检定: ：+5，触及 5 尺。命中: ：8（ 1d10 + 3 ）挥砍伤害。

闪电吐息(充能 5–6) Lightning Breath. 敏捷 豁免检定: ：DC 12，40 尺长、5 尺宽的线状内的每名生物。失败: ：16（3d10）闪电伤害。成功:： 半伤。

斥力吐息 Repulsion Breath. 力量 豁免检定: ：DC 12，30 尺锥状内的每名生物。失败: ：目标被青铜龙直线推离至多 30 尺并陷入倒地状态。",,,,,,,海岸,器具
须魔,MM'25,33,中型,邪魔 (魔鬼),守序 邪恶,13,58 (9d8 + 18),30 尺,16,15,15,9,11,14,"Str +5, Con +4, Cha +4",,,寒冷,"火焰, 毒素","中毒, 恐慌","黑暗视觉120尺（不受魔法黑暗阻碍）, 被动察觉 10",炼狱语; 心灵感应 120 尺,3 (XP 700; PB +2),魔法抗性 Magic Resistance. 该魔鬼对抗法术和其他魔法效应时进行的豁免检定具有优势。,"多重攻击 Multiattack. 须魔发动一次须刺攻击和一次长柄刀攻击。

须刺 Beard. 近战攻击检定: +5，触及5尺。命中: 7（1d8 + 3）穿刺伤害，且目标陷入中毒状态直至须魔的下个回合开始。以此法中毒的生物在中毒期间无法恢复生命值。

地狱砍刀 Infernal Glaive. 近战攻击检定: +5，触及10尺。命中: 8（1d10 + 3）挥砍伤害。若目标是生物且其未获得地狱创口，承受以下效应。体质 豁免检定: DC 12。失败: 目标获得地狱创口。具有地狱创口期间，目标在其回合开始时失去5（1d10）生命值生命值。地狱创口在1分钟后合拢或在目标被法术恢复生命值后提前合拢。目标或其5尺内的生物可以用动作来尝试缝合创口，这么做需要成功通过一次DC 12感知（医药）检定。",,,,,,,"位面, 九层地狱",武备
预言法师,MPMM,261,中型,类人,任意阵营,12 (法师护甲时15),90 (20d8),30 尺,9,14,11,18,12,11,"Int +7, Wis +4","奥秘 +7, 历史 +7",,,,,被动察觉 11,任意四种语言,"8 (XP 3,900; PB +3)",,"多重攻击 Multiattack. 预言法师发动三次奥能爆攻击。

奥能爆发 Arcane Burst. 近战 或 远程法术攻击: 命中+7，触及5尺或范围120尺，单一目标。命中: 20（3d10 + 4）点光耀伤害。

天启将至(充能 5–6) Overwhelming Revelation. 预言师魔法地在距其120尺内选择一点为中心，半径10尺的球体内制造出一束照明。该区域内的每个生物都必须进行一次DC 15的感知豁免。豁免失败时，生物受到45（10d8）的心灵伤害，并被震慑至预言师的下一回合结束。豁免成功时，该生物受到的伤害减半，并且不会被震慑。

施法. 预言师施展下列的一个法术，其施法属性为智力（法术豁免DC 15）：

随意: 法师之手, 传讯术, 魔法伎俩

每项2/日: 秘法眼, 侦测魔法, 侦测思想, 飞行术, 闪电束, 物件定位术, 法师护甲, 拉瑞心灵联结

1/日: 真知术",,预兆（3/日） Portent. 当预言师或一个它所能看见的生物进行一次攻击检定、豁免检定、或属性检定时，预言师骰一颗d20并选择是否使用该骰替换掉其攻击检定、豁免检定、或属性检定的d20掷骰结果。,,,,,城市,
颅鼠,MPMM,83,微型,异怪,无阵营,12,2 (1d4),30 尺,2,14,10,4,11,8,,,,,,,"黑暗视觉 30 尺, 被动察觉 10",心灵感应 30 尺,0 (XP 10; PB +2),读心屏障 Telepathic Shroud. 颅鼠免疫任何能感知其情绪或阅读其思想的效应，其同样免疫所有预言学派的法术。,啃咬 Bite. 近战武器攻击: 命中+4，触及5尺，单一目标。命中: 造成1点穿刺伤害。,照明 Illumination. 颅鼠可以从其裸露的大脑散发出5尺半径的微光、或是将光熄灭。,,,,,,"城市, 幽暗地域",
颅鼠集群,MPMM,83,中型,异怪的微型集群,守序 邪恶,12,76 (17d8),30 尺,9,14,10,15,11,14,,,,"钝击, 穿刺, 挥砍",,"倒地, 受擒, 恐慌, 束缚, 石化, 震慑, 魅惑, 麻痹","黑暗视觉 30 尺, 被动察觉 10",心灵感应 30 尺,"5 (XP 1,800; PB +3)","读心屏障 Telepathic Shroud. 集群免疫任何能感知其情绪或阅读其思想的效应，其同样免疫所有预言学派的法术。

集群 Swarm. 集群可以进驻另一生物身处的空间位置，反之亦然。而且集群可以通过任何足够一只微型老鼠通过的通道。集群不能恢复生命值也不能获得临时生命值。","啃咬 Bites. 近战武器攻击: 命中+5，触及0尺，单一身处颅鼠所处空间的目标。命中: 14（4d6）点穿刺伤害，如果集群的生命值在一半以下，则改为7（2d6）点穿刺伤害，外加22（5d8）点心灵伤害。

施法（灵能）. 只要集群具有超过一半的生命值，集群就可以施展以下一个法术，无需任何法术成分，且以智力为其施法属性（法术豁免DC 13）：

随意: 命令术, 通晓语言, 侦测思想

每项1/日: 困惑术, 支配怪物",照明 Illumination. 集群可以从其裸露的大脑散发出5尺半径的微光、或是将光芒增强至5尺~20尺半径的明亮光照（以及在这半径之外的额外等额距离微光光照）、或是将光熄灭。,,,,,,"城市, 幽暗地域",
风暴巨人,MM'25,302,巨型,巨人,混乱 善良,16,230 (20d12 + 100),"50 尺, 飞行 25 尺 (悬浮), 游泳 50 尺",29,14,20,16,20,18,"Str +14, Con +10, Wis +10, Cha +9","奥秘 +8, 运动 +14, 历史 +8, 察觉 +10",,寒冷,"闪电, 雷鸣",,"黑暗视觉 120 尺, 真实视觉 30 尺, 被动察觉 20","通用语, 巨人语","13 (XP 10,000; PB +5)",水陆两栖 Amphibious. 巨人可以在空气和水中呼吸。,"多重攻击 Multiattack. 巨人发动两次攻击，可使用风暴之剑或雷霆轰击的任意组合。

闪电风暴 Storm Sword. 近战攻击检定: +14，触及10尺。命中: 23（4d6 + 9）挥砍伤害外加13（3d8）闪电伤害。

施法. 巨人施展以下一道法术，无需材料成分并使用感知作为施法属性（法术豁免DC 18）：

随意: 侦测魔法, 光亮术

1/日: 操控天气

雷霆轰击 Thunderbolt. 远程攻击检定: +14，射程500尺。命中: 22（2d12 + 9）闪电伤害，且目标陷入目盲和耳聋状态直至风暴巨人的下个回合开始。

闪电风暴 (充能 5–6) Lightning Storm. 敏捷 豁免检定: DC 18，以500尺内风暴巨人可见一点为源点，半径10尺、高40尺的柱状区域内的每名生物。失败: 55（10d10）闪电伤害。成功: 半伤。",,,,,,,"水下, 海岸",武备
