名称,来源,页码,环阶,施法时间,持续时间,学派,范围,成分,职业,可选/变体 职业,子职,文本,升环施法
行动无踪,PHB'24,303,2环,动作,"专注, 至多1 小时",防护,自身,"声音, 姿势, 材料 (槲寄生烧成的灰烬)","德鲁伊 (PHB'24), 游侠 (PHB'24)",,"诡术 (PHB'24) 牧师, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你在法术持续时间于 30 尺光环范围内散发出遮蔽灵光。位于灵光范围期间，你和每名你选择的生物在敏捷（隐匿隐匿）检定上获得 +10 加值，且不会留下任何踪迹。,
行动自如,PHB'24,277,4环,动作,1 小时,防护,触及,"声音, 姿势, 材料 (一根皮条)","吟游诗人 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24)",,"大地 (温带) (PHB'24) 德鲁伊, 奉献 (PHB'24) 圣武士, 战争 (PHB'24) 牧师, 时械 (PHB'24) 术士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 荣耀 (PHB'24) 圣武士","你触碰一个自愿生物。在法术持续时间内，目标的移动不受困难地形影响，且任何法术或其他魔法效应都不能降低目标的速度，或者使目标陷入麻痹或束缚状态。目标还会获得等同于其速度的游泳速度。

此外，该目标还可以花费 5 尺移动力直接从非魔法的束缚物中挣脱（诸如镣铐或其他生物对其施加的受擒状态）。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比四环高一环，你就可以额外再指定一名生物作为此法术的目标。
衰弱射线,PHB'24,311,2环,动作,"专注, 至多1 分钟",死灵,60 尺,"声音, 姿势","法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你向施法距离内的一名生物射出一道让人衰弱的能量射线。目标必须进行一次体质豁免。豁免成功，则目标直到你的下个回合开始在下一次攻击掷骰上具有劣势。

豁免失败，目标在持续时间内在使用力量属性的D20 检定上具有劣势。同样的，在此期间，其所有的伤害掷骰获得1d8的减值。目标在每个其回合结束时可以重复豁免，豁免成功则法术终止。",
解离术,PHB'24,263,6环,动作,立即,变化,60 尺,"声音, 姿势, 材料 (一块天然磁石和灰尘)","术士 (PHB'24), 法师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","你向施法距离内一个你能看见的目标射出一道绿色射线。该目标可以是一名生物或一个非魔法物件，或者是魔法力场的造物（例如由力场墙创造的墙壁）。

目标生物必须进行一次敏捷豁免，豁免失败则受10d6 + 40点力场伤害，若目标生命值因此降至0生命值，则目标连同其穿着和携带的非魔法物品一起化为灰尘。该生物只能通过完全复生术或祈愿术复活。

此法术会直接解离大型或更小的非魔法物件或魔法力场造物。如果目标是巨型或更大的物件或魔法力场造物，则此法术会解离其 10 尺立方大小的部分。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比六环高一环，伤害就提高3d6。
解除魔法,PHB'24,264,3环,动作,立即,防护,120 尺,"声音, 姿势","吟游诗人 (PHB'24), 圣武士 (PHB'24), 奇械师 (EFA), 德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24), 牧师 (PHB'24), 魔契师 (PHB'24)",,"咒火 (FRHoF) 术士, 奉献 (PHB'24) 圣武士, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 时械 (PHB'24) 术士, 知识 (FRHoF) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 防护师 (PHB'24) 法师",在施法距离内指定一名生物、一个物件或一处魔法效应。所有影响该目标的三环或更低环阶法术即告终止。每个影响目标的四环或更高环阶法术都需要以你的施法属性进行一次属性检定（DC 10加上该法术的环阶），检定成功时目标法术终止。,升环施法 Using a Higher-Level Spell Slot. 你直接终止影响目标的小于等于该施法环阶的法术效应。
触发术,PHB'24,256,6环,10 分钟,10 day,防护,自身,"声音, 姿势, 材料 (一尊价值 1500+GP 的饰宝石自塑像)",法师 (PHB'24),,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 防护师 (PHB'24) 法师","选择一道五环或以下的你能够施展的法术，其施法时间需为动作且能够以你为目标。这道法术被称为凭依法术。你作为施展触发术的一部分施展凭依法术，同时消耗凭依法术与触发术的法术位，但凭依法术并不会立即生效，而是在满足特定触发条件时才生效。你在施展这两道法术的时候描述触发条件。例如，触发术与水下呼吸一起施展可以确保水下呼吸在你被水或类似液体淹没时触发其效应。

凭依法术的效应在相应状况第一次出现时立即生效，而无论你是否想要这么做，在那之后触发术随即终止。

凭依法术的效应只能作用于你，哪怕它通常可以指定其他目标也无法再作指定。你同一时间只能使用一道触发术。如果你再次施展该法术，则你身上前一道触发术的效应立即终止。另外，当触发术的材料成分不在你身上时，你身上的触发术效应也将立即终止。",
警戒箭阵,PHB'24,258,2环,动作,8 小时,变化,触及,"声音, 姿势, 材料 (四支或更多的箭或矢)",游侠 (PHB'24),,逸闻 (PHB'14) 吟游诗人,"你触碰至多四根非魔法箭矢或弩矢，将其插在位于你所处空间的地面上。直到法术结束为止，这些弹药不能被物理方法拔起，且当除你之外的生物第一次进入距弹药 30 尺内空间或在距弹药 30 尺内空间结束回合时，一枚弹药便会飞起攻击此生物。那名生物必须成功于一次敏捷豁免，否则受到2d4点穿刺伤害。那枚弹药随之被摧毁。当所有弹药都没有插在地面上时，法术终止。

施展该法术时，你可以指定任意的生物使法术的警戒效应将其排除在外。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比二环高一环，可被影响的弹药数量就增加两枚。
警报术,PHB'24,239,1环,1 分钟,8 小时,防护 (仪式),30 尺,"声音, 姿势, 材料 (一个小铃铛和一小段银线)","奇械师 (EFA), 法师 (PHB'24), 游侠 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 时械 (PHB'24) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 防护师 (PHB'24) 法师","你设置一个针对不速之客的警报。在施法距离内指定一扇门窗或选择一个边长不大于 20 尺的立方区域。在法术持续时间内，任何触碰或进入被法术保护区域的生物都会触发警报。施法时，你可以决定哪些生物不会触发警报，还可以选择警报方式为声音警报或是精神警报。

声音警报. 警报将在其保护区域 60 尺范围内将响起持续 10 秒摇铃声。

精神警报. 如果你距离目标区域不超过 1 里，警报会在你脑海中会传来""乒""的警报声。如果你在睡觉，则警报将使你惊醒。",
识破隐形,PHB'24,314,2环,动作,1 小时,预言,自身,"声音, 姿势, 材料 (一撮滑石粉)","吟游诗人 (PHB'24), 奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,"光明 (PHB'24) 牧师, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 预言师 (PHB'24) 法师",在法术持续时间内，你能看见任何处于隐形状态的生物和物件，如同其处于正常可见状态一样。你还能够看见以太位面，以太位面的生物和物件在你眼中会以幽灵般的半透明形状显现。,
诚实之域,PHB'24,343,2环,动作,10 分钟,惑控,60 尺,"声音, 姿势","吟游诗人 (PHB'24), 圣武士 (PHB'24), 牧师 (PHB'24)",,"奉献 (PHB'24) 圣武士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你创造一个抵御谎言的魔法区域，该区域以施法距离内一点为中心，覆盖以该点为中心 15 尺半径的球状区域。在法术终止前，生物在一回合中首次进入该区域，或在该区域内开始其回合时，必须进行一次魅力豁免。豁免失败者在该区域内不能故意说谎。而你可以知晓每个生物进行的此豁免成功与否。

受影响的生物可以意识到该效果的存在，因此它可以主动回避回答那些通常会以谎言答复的问题。该生物在回答问题时可以闪烁其词、避重就轻，但说的仍然需要是真话。",
诱捕打击,PHB'24,268,1环,附赠动作,"专注, 至多1 分钟",咒法,自身,声音,游侠 (PHB'24),,"古贤 (PHB'24) 圣武士, 逸闻 (PHB'14) 吟游诗人","你命中目标时，目标身上出现一根紧紧将其攫住的藤蔓，使其进行一次力量豁免，大型及更大体型的生物进行该豁免时具有优势。豁免失败，则目标将直到法术结束为止陷入束缚状态。豁免成功，则藤蔓立即枯萎，法术结束。

处于束缚状态期间，目标在其每回合开始受到1d6点穿刺伤害。目标或其他位于其触及内的生物可用一个动作进行一次对抗法术豁免DC的力量（运动运动）检定。检定成功则法术结束。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，此法术的伤害就提高1d6点。
谭森浮碟术,PHB'24,332,1环,动作,1 小时,咒法 (仪式),30 尺,"声音, 姿势, 材料 (一滴汞)",法师 (PHB'24),,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","指定施法距离内一处你可见的未占空间，并在该处创造一个圆盘状的碟型水平力场。浮碟直径 3 尺，厚 1 寸，悬浮在离地 3 尺的空中。其可以在法术持续时间内持续存在，并至多可负载 500 磅重量。如果放在浮碟上的物件重量超过 500 磅，则该法术终止，浮碟上的所有东西也将掉落至地上。

浮碟距你 20 尺内时静止不动。只要你与其距离超过 20 尺，浮碟就会跟随你移动，并保持在距你 20 尺范围内。浮碟可以自由跨越崎岖地形、上下阶梯、斜坡面、诸如此类的地面，但它不能越过高差超过 10 尺的地面。例如，浮碟不能越过一个 10 尺深的坑；如果将浮碟创造在这个坑的坑底，则它将无法离开这个坑。

如果你距浮碟超过 100 尺（通常是因为它受障碍所阻无法跟上你），则法术终止。",
贾拉兹光辉风暴,PHB'24,289,5环,动作,"专注, 至多1 分钟",塑能,120 尺,"声音, 姿势, 材料 (一撮磷)","法师 (PHB'24), 魔契师 (PHB'24)",,塑能师 (PHB'24) 法师,"你以施法距离内你能看到的一点为中心，创造出一场闪光和雷鸣交织的风暴，席卷 10 尺半径、40 尺高度的柱状区域。在这片区域内，生物会陷入目盲和耳聋状态，并且不能施展任何含有声音成分的法术。

当风暴出现时，任何处于其中的生物都必须进行一次体质豁免，豁免失败则受到2d10点光耀伤害与2d10点雷鸣伤害，豁免成功则受到半数伤害。生物在一个回合内首次进入该区域内，或者在区域内结束其回合时，也必须进行该豁免。一名生物每回合仅需进行一次该豁免。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比五环高一环，此法术的光耀和雷鸣伤害都会增加1d10。
跳跃术,PHB'24,290,1环,附赠动作,1 分钟,变化,触及,"声音, 姿势, 材料 (一只蚱蜢的后腿)","奇械师 (EFA), 德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你触碰一个自愿生物。在法术结束前，每该生物他的回合内一次，其可以消耗 10 尺移动力来跳跃至多 30 尺距离。,升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，你就可以额外选择一个生物作为目标。
转生术,PHB'24,311,5环,1 小时,立即,死灵,触及,"声音, 姿势, 材料 (价值1000GP+的珍稀油，作为法术耗材)",德鲁伊 (PHB'24),,,"你触碰一名类人生物的遗体或遗体的一部分。若该生物死亡时间不超过10日，则法术会创造出一具新的成年身体，并呼唤该生物的灵魂进入此新身躯。骰1d10，然后参照下表来决定新躯体的种族，或者DM也可以选择其他可选种族。

1d10种族1阿斯莫2龙裔3矮人4精灵5侏儒6歌利亚7半身人8人类9兽人10提夫林若种族描述中提供了可选选项，则由被转生的生物做出选择，且其保留其前生记忆。目标保留原形的一切能力，不过其种族特质将以新种族的相应特质做更替。",
迅捷箭袋,PHB'24,329,5环,附赠动作,"专注, 至多1 分钟",变化,自身,"声音, 姿势, 材料 (一个价值 1+GP 的箭袋)",游侠 (PHB'24),,,你施展该法术时，可以用一个射出箭矢或弩矢的武器（例如长弓和轻弩）进行两次攻击。随后，在法术结束前你能用附赠动作再次用这种武器发动两次攻击。法术会魔法性地为每次攻击生成所需的弹药。以此法生成的每发箭矢或弩矢如同类非魔法弹药一般造成伤害，且不论是否命中都会在攻击后立即瓦解。,
连锁闪电,PHB'24,249,6环,动作,立即,塑能,150 尺,"声音, 姿势, 材料 (三根银针)","术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","你放出一道闪电，射向施法距离内某个你能看见的指定目标。经过首个目标后，闪电分成三束跳向该目标 30 尺内至多 3 个其他目标。闪电的目标可以是生物或物件，但每束闪电必须指定不同的目标。

每个目标必须进行一次敏捷豁免。豁免失败者将受到10d8点闪电伤害，豁免成功则受到半数伤害。",升环施法 Using a Higher-Level Spell Slot. 使用高于六环的法术位施展该法术时，你使用的法术位每比六环高一环，跳跃后闪电就多分出一束射向一个不同的目标。
迷宫术,PHB'24,296,8环,动作,"专注, 至多10 分钟",咒法,60 尺,"声音, 姿势",法师 (PHB'24),,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","你将施法距离内一个你能看见的生物放逐到一个迷宫般错综复杂的半位面。目标将一直留在该处直至法术持续时间结束，或者直到它逃出该迷宫。

目标可以使用研究动作尝试逃出迷宫。此时它可以进行一次DC 20智力（调查）检定，检定成功将逃出迷宫，而该法术随之终止。

法术终止时，目标将重新出现在它之前消失的位置。如果该位置被占据，则目标出现在最近的未占据位置。",
迷幻手稿,PHB'24,288,1环,1 分钟,10 day,幻术 (仪式),触及,"姿势, 材料 (价值 10+GP 的墨水，作为法术耗材)","吟游诗人 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 幻术师 (PHB'24) 法师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你在羊皮纸，纸张或是其他适合书写的材质上书写文字并对其施加一个强力的幻象。其效应将持续至法术终止。文件对于你和你施法时所指定的生物而言是一份普通的文件，文件内容即是以你的笔迹传达你写下手稿时想要传达的一切意义。而对于所有其他阅读者而言，该文件看起来就像由难懂的未知文字或魔法文字所书写。此外，你还可以使该文件呈现出完全不同的信息，使其看起来是用另一种笔迹或者语言所书写，不过你必须懂得该语言。

如果法术被解除，则幻象和原始手稿一同消失不见。

拥有真实视觉的生物可以读出其内被隐藏的信息。",
迷踪步,PHB'24,299,2环,附赠动作,立即,咒法,自身,声音,"术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"古贤 (PHB'24) 圣武士, 复仇 (PHB'24) 圣武士, 大地 (温带) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 妖精漫游者 (PHB'24) 游侠, 至高妖精 (PHB'24) 魔契师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你短暂地被银白的雾气所笼罩，传送到至多 30 尺内一个你能看见且未被占据的空间。,
通晓传奇,PHB'24,290,5环,10 分钟,立即,预言,自身,"声音, 姿势, 材料 (价值 250+GP 的熏香，作为法术耗材。以及每块价值 50+GP 的四块象牙板)","吟游诗人 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"知识 (FRHoF) 牧师, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 荣耀 (PHB'24) 圣武士, 预言师 (PHB'24) 法师, 龙族血脉 (PHB'24) 术士","点名或描述一个著名的人物，地点，或物件。该法术在你脑海中形成一段由DM描述的关于该事物重要传闻的简单概述。

这些传闻可能包括了重要的细节，有趣的揭秘，也可能是不曾被广泛知晓的秘闻。你掌握目标越多的信息，所得到的信息就越精确细致。你由此得到的信息必定是准确的，但仍可能会以比喻或诗歌来表达，具体将由DM决定。

如果你选的事物其实并不著名，你会听到仿佛由长号演奏而出的悲伤的音符，随后法术失败。",
通晓语言,PHB'24,252,1环,动作,1 小时,预言 (仪式),自身,"声音, 姿势, 材料 (一撮煤灰和盐)","吟游诗人 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 魔契师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 旗将 (FRHoF) 战士, 知识 (FRHoF) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 预言师 (PHB'24) 法师",你在法术持续时间内知晓你所听到或看到手语的所有语言的字面意义。你也可以通过触碰书写的文字来读懂其字面意义。以这种方式阅读每页文字需要花费 1 分钟的时间。这个法术并不能解读符号和暗语。,
通神术,PHB'24,251,5环,1 分钟,1 分钟,预言 (仪式),自身,"声音, 姿势, 材料 (香)",牧师 (PHB'24),,"奉献 (PHB'24) 圣武士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士","你与一名神明或一名神明的代理人进行联系，并询问至多三个能以""是""或""否""回答的问题。你必须在法术结束前完成提问。你会收到每个问题的正确答案。

这些神能存在也并非全知全能，因此当问题涉及的信息超过神的认知范围时，你可能会得到一句""不确定""作为回答。另外当一个单词可能引致误导，或者与神的兴致相违背时，DM 可能会提供一句短语作为答案。

若你在完成一次长休前施展两次或更多次的该法术，则法术有一定的几率不给任何答复。此概率从第二次施展起每次累计25%％。",
造水术/枯水术,PHB'24,258,1环,动作,立即,变化,30 尺,"声音, 姿势, 材料 (水沙混合物)","德鲁伊 (PHB'24), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你选择其一执行：

造水. 你在施法距离内一个打开的容器中创造至多 10 加仑干净的水。作为另一种选项，你使施法距离内一处 30 尺的立方区域降下雨水并浇灭区域内不受遮盖的火焰。

枯水. 你使施法距离内一个打开的容器里至多 10 加仑水枯竭不见。作为另一种选项，你使施法距离内一片 30 尺立方区域的浓雾消失不见。",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比一环高一环，法术就多创造或多枯竭 10 加仑额外的水分，另一种选项能影响的立方区域边长增加 5 尺。
造物术,PHB'24,259,5环,1 分钟,特殊,幻术,30 尺,"声音, 姿势, 材料 (一支画笔)","奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,幻术师 (PHB'24) 法师,"你从堕影冥界Shadowfell取来一些暗影物质，在施法距离内创造一个物件。你可以创造一个植物质（类似纺织品、绳索、木质等）物件，也可以创造一个矿物质（类似石质、水晶、金属等）物件。创造出来的物件大小必须不超过 5 尺立方区域，且其必须是一种你见过的形态与材质。

法术的持续时间由所创造物件的材质决定，如材质表中所示。如果所创造物件由多种材质组合而成，则其持续时间取其中最短者。施展其他法术时，如果以这些创造物作为其材料成分将会使那道法术失败。

材质材质持续时间植物物质24小时石头或水晶12小时贵金属1小时宝石10分钟精金或秘银1分钟",升环施法 Using a Higher-Level Spell Slot. 使用的法术位每比五环高一环，此法术的立方区域边长就增加 5 尺。
造粮术,PHB'24,258,3环,动作,立即,咒法,30 尺,"声音, 姿势","圣武士 (PHB'24), 奇械师 (EFA), 牧师 (PHB'24)",,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你在施法距离内的地面上或容器中创造 45 磅食物和 30 加仑淡水，该法术创造的食物和水均可用于避免饥饿和脱水的危害。食物味道寡淡却营养丰富，并且看起来像一种你选择的食物，水也是干净的。食物 24 小时内未被食用即会变坏。,
造风术,PHB'24,282,2环,动作,"专注, 至多1 分钟",塑能,自身,"声音, 姿势, 材料 (一颗豆类种子)","德鲁伊 (PHB'24), 术士 (PHB'24), 法师 (PHB'24), 游侠 (PHB'24)",,"塑能师 (PHB'24) 法师, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 海洋 (PHB'24) 德鲁伊, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","一股长 60 尺，宽 10 尺的线状强风以你为起点向你指定的方向吹去。每名位于线状区域内的生物必须成功于一次力量豁免，豁免失败则沿着线状的方向被推离你 15 尺。任何生物在线状区域内结束其回合也必须进行同样的豁免。

任何生物在线状区域内朝更靠近你的方向移动时，其每移动 1 尺必须花费 2 尺的移动力。

强风吹散区域内的毒气或蒸汽，并吹熄蜡烛等不受保护的其他类似火焰。而有保护的火焰（比如提灯）则会剧烈摇晃并有50%的概率被吹熄。

你可以在自己随后的回合内以一个附赠动作改变线状风道的方向。",
遗体防腐,PHB'24,278,2环,动作,10 day,死灵 (仪式),触及,"声音, 姿势, 材料 (2 枚铜币，作为此法术的耗材)","圣武士 (PHB'24), 法师 (PHB'24), 牧师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你触碰一具尸体或其他遗骸。目标在法术持续时间内不会腐烂且无法被转变为亡灵。

该法术同样可以有效的延长复活目标的时间限制，因为受该法术影响下度过的时间不计入法术如死者复活的时间限制内。",
邪魔召唤术,PHB'24,326,6环,动作,"专注, 至多1 小时",咒法,90 尺,"声音, 姿势, 材料 (一小瓶价值 600+GP 的血)","法师 (PHB'24), 魔契师 (PHB'24)",,"奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师","你唤来一个邪魔灵魄。其使用下文邪魔灵魄的数据，并会在施法距离内一处你可见的未被占据的空间中显现。当你施展法术时，从魔鬼，恶魔，尤格罗斯魔中选择一类，该生物会显现为你所选的那类邪魔中的一员，其数据中的部分特性也受此影响。该生物会在生命值降为 0 或是法术结束时消失。

该生物是你和你盟友的盟友。它在战斗中使用你的先攻，并在你回合结束后立即执行其回合。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行回避动作并使用其移动力以远离危险。",升环施法 Using a Higher-Level Spell Slot. 该生物的数据使用新的法术环阶。
酸液飞溅,PHB'24,239,戏法,动作,立即,塑能,60 尺,"声音, 姿势","奇械师 (EFA), 术士 (PHB'24), 法师 (PHB'24)",,"塑能师 (PHB'24) 法师, 大地 (热带) (PHB'24) 德鲁伊, 奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 奥秘 (SCAG) 牧师, 奥秘 (SCAG) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人",你在施法距离内一点创造出一颗酸液泡，以该点 5 尺球状范围爆发。该球状区域内的每名生物必须通过一次敏捷豁免，否则受到1d6点强酸伤害。,戏法强化 Cantrip Upgrade. 当你达到以下等级时，伤害增加1d6，5 级（2d6），11 级（3d6）和17 级（4d6）。
重伤术,PHB'24,283,6环,动作,立即,死灵,60 尺,"声音, 姿势",牧师 (PHB'24),,"神圣之魂 (XGE) 术士, 神圣之魂 (XGE) 术士",你对施法距离内一个你可见的生物降下恶毒致命的魔法。目标必须通过一次体质豁免，豁免失败将受到14d6点暗蚀伤害，并且它的生命值上限会降低等同它所受暗蚀伤害数值点。豁免成功则受到半数伤害。此法术不能将目标的生命值上限降至1以下。,
野兽召唤术,PHB'24,322,2环,动作,"专注, 至多1 小时",咒法,90 尺,"声音, 姿势, 材料 (一根羽毛、一簇毛皮和一条装在镀金橡果内的鱼尾、价值 200+GP)","德鲁伊 (PHB'24), 游侠 (PHB'24)",,"幻术师 (PHB'24) 法师, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人","你唤来一个野兽灵魄。其使用下文野兽灵魄的数据，并会在施法距离内一处你可见的未被占据的空间中显现。当你施展法术时，从天空、大地和海洋中选择一个环境。该生物会显化符合为你所选的环境的形态，其数据中的部分特性也受此影响。该生物会在生命值降为 0 或是法术结束时消失。

该生物是你和你盟友的盟友。它在战斗中使用你的先攻，并在你回合结束后立即执行其回合。它遵从于你的口头指令（无需任何动作）。如果你不发令，它将执行回避动作并使用其移动力以远离危险。",升环施法 Using a Higher-Level Spell Slot. 该生物的数据使用新的法术环阶。
野兽感官,PHB'24,245,2环,动作,"专注, 至多1 小时",预言 (仪式),触及,姿势,"德鲁伊 (PHB'24), 游侠 (PHB'24)",,"兽心 (PHB'24) 野蛮人, 逸闻 (PHB'24) 吟游诗人, 逸闻 (PHB'14) 吟游诗人",你触碰一只自愿的野兽。在持续期间内，你可以借助该野兽的感官来感知周围事物，如同它们的感官是你的感官一般。以通过该野兽感官感知事物时，你同样会受益于它拥有的那些特殊感官。,
鉴定术,PHB'24,287,1环,1 分钟,立即,预言 (仪式),触及,"声音, 姿势, 材料 (一枚价值100+GP的珍珠)","吟游诗人 (PHB'24), 奇械师 (EFA), 法师 (PHB'24)",,"奥法骑士 (PHB'14) 战士, 奥法骑士 (PHB'24) 战士, 知识 (FRHoF) 牧师, 诡术师 (PHB'14) 游荡者, 诡术师 (PHB'24) 游荡者, 逸闻 (PHB'14) 吟游诗人, 逸闻 (PHB'24) 吟游诗人, 预言师 (PHB'24) 法师","你指定一个物件，并在施法过程中一直与其保持接触。如果该物件是魔法物品或其他附有魔力的物件，则你将知晓其属性和使用方式，以及了解是否需要与之同调。若它是充能物品则你将得知它现存的可用次数。你还可以发现是否有法术正影响该物件，以及可能存在的法术效应具体来自哪项法术。如果目标由法术所创，则你将知晓具体来自哪项法术。

如果你施法过程中一直接触的是一生物，则你将知晓其是否受法术影响，及产生影响的法术效应具体来自哪些法术。",
钢风斩,PHB'24,320,5环,动作,立即,咒法,30 尺,"姿势, 材料 (一把价值 1+SP 的近战武器)","法师 (PHB'24), 游侠 (PHB'24)",,战争 (PHB'24) 牧师,"你舞动用于施法的武器，随后忽然消失并如疾风般发起一轮突击。选择施法距离内最多 5 个你可见的生物。向每个生物分别进行一次近战法术攻击。若命中，目标将受到6d10点力场伤害。

在这之后，你可以传送到法术目标之一周围 5 尺内一处你可以看见且未占据空间中。",
